City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Benalla,AU,-36.55,145.9833,58.06,84,100,10.51,moderate rain
80,Vaini,TO,-21.2,-175.2,75.36,69,20,13.8,few clouds
81,Camacha,PT,33.0833,-16.3333,65.62,68,20,3.44,few clouds
82,Laguna,US,38.421,-121.4238,71.08,25,0,20.71,clear sky
83,Preobrazheniye,RU,42.9019,133.9064,37.36,65,12,7.34,few clouds
84,Berlevag,NO,70.8578,29.0864,37.35,81,100,16.11,overcast clouds
85,Busselton,AU,-33.65,115.3333,55.87,91,60,10.49,broken clouds
86,Sept-Iles,CA,50.2001,-66.3821,55.92,74,20,2.3,few clouds
87,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,85,20,5.75,few clouds
88,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,82,40,6.91,scattered clouds
89,Port Hawkesbury,CA,45.6169,-61.3485,63.03,69,100,2.24,overcast clouds
90,Naze,JP,28.3667,129.4833,67.12,67,0,19.44,clear sky
91,Victoria,HK,22.2855,114.1577,77.38,73,92,8.01,overcast clouds
92,Bonthe,SL,7.5264,-12.505,78.67,81,53,4.14,broken clouds
93,San Borja,BO,-14.8167,-66.85,87.42,49,84,5.91,broken clouds
94,Nome,US,64.5011,-165.4064,39.27,87,100,21.85,overcast clouds
95,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,3.44,broken clouds
96,Hilo,US,19.7297,-155.09,80.33,71,100,6.91,overcast clouds
97,Sarankhola,BD,22.3082,89.7897,69.57,97,100,12.59,heavy intensity rain
98,Torbay,CA,47.6666,-52.7314,58.26,80,40,11.5,scattered clouds
99,Akdepe,TM,42.0551,59.3788,46.49,58,15,9.19,few clouds
100,Soyo,AO,-6.1349,12.3689,77.2,89,78,7.54,broken clouds
101,Ponta Delgada,PT,37.7333,-25.6667,65.12,68,40,10.36,scattered clouds
102,Faanui,PF,-16.4833,-151.75,79.21,74,49,11.43,scattered clouds
103,Lebu,CL,-37.6167,-73.65,53.92,69,2,10.29,clear sky
104,Freeport,US,40.6576,-73.5832,62.15,72,100,13.8,overcast clouds
105,Sao Filipe,CV,14.8961,-24.4956,79.63,70,0,9.93,clear sky
106,Les Cayes,HT,18.2,-73.75,83.46,70,56,5.73,light rain
107,Mangan,IN,27.5167,88.5333,63.79,37,98,7.11,overcast clouds
108,Roald,NO,62.5833,6.1333,49.75,87,40,8.05,scattered clouds
109,Novyy Urengoy,RU,66.0833,76.6333,27.95,75,100,13.11,overcast clouds
110,Faya,SA,18.3851,42.4509,62.71,62,14,2.1,few clouds
111,Grand-Santi,GF,4.25,-54.3833,84.61,61,100,1.88,overcast clouds
112,Kuryk,KZ,43.2,51.65,52.12,52,0,10.45,clear sky
113,Kaitangata,NZ,-46.2817,169.8464,46.04,94,100,10.78,overcast clouds
114,Lavrentiya,RU,65.5833,-171.0,30.47,95,100,3.87,light snow
115,Port Hardy,CA,50.6996,-127.4199,46.58,81,100,6.91,light rain
116,Pevek,RU,69.7008,170.3133,14.94,94,100,4.29,overcast clouds
117,Codrington,AU,-38.2667,141.9667,53.08,96,100,18.77,light rain
118,Tyshkivka,UA,48.4967,30.9423,51.55,85,99,10.6,overcast clouds
119,Knysna,ZA,-34.0363,23.0471,62.65,94,96,1.74,overcast clouds
120,Katsuura,JP,35.1333,140.3,61.36,83,100,23.98,overcast clouds
121,Kindu,CD,-2.95,25.95,71.65,88,60,2.15,broken clouds
122,Kavaratti,IN,10.5669,72.642,80.91,76,77,2.3,broken clouds
123,Ordzhonikidzevskaya,RU,43.3211,45.0522,41.34,77,100,3.49,overcast clouds
124,Pilar,BR,-9.5972,-35.9567,80.53,82,85,9.37,overcast clouds
125,Wyndham,US,37.6985,-77.6125,62.76,89,100,4.61,overcast clouds
126,Del Rio,US,29.3627,-100.8968,80.62,69,20,17.27,few clouds
127,Patacamaya,BO,-17.2333,-67.9167,61.34,20,80,1.79,broken clouds
128,Havelock,US,34.8791,-76.9013,67.98,85,100,13.8,overcast clouds
129,Lichinga,MZ,-13.3128,35.2406,69.85,40,4,7.36,clear sky
130,Geraldton,AU,-28.7667,114.6,63.97,66,74,14.92,broken clouds
131,Houston,US,29.7633,-95.3633,87.94,48,20,26.46,few clouds
132,Halifax,CA,44.6453,-63.5724,64.29,63,100,3.44,overcast clouds
133,Quatre Cocos,MU,-20.2078,57.7625,73.51,80,32,9.55,scattered clouds
134,Dikson,RU,73.5069,80.5464,26.82,86,100,19.51,overcast clouds
135,Kloulklubed,PW,7.0419,134.2556,84.43,74,86,12.93,overcast clouds
136,Hasaki,JP,35.7333,140.8333,57.6,77,100,26.02,overcast clouds
137,San Carlos De Bariloche,AR,-41.1456,-71.3082,59.25,29,20,24.16,few clouds
138,Mahebourg,MU,-20.4081,57.7,73.69,83,75,3.44,broken clouds
139,Kushima,JP,31.4583,131.2333,58.51,82,21,8.16,few clouds
140,Sungairaya,ID,0.7,108.9,76.82,91,100,4.7,light rain
141,Kapaa,US,22.0752,-159.319,82.38,76,40,16.11,moderate rain
142,Idrinskoye,RU,54.3708,92.1358,35.08,74,97,6.87,overcast clouds
143,Yellowknife,CA,62.456,-114.3525,28.92,69,75,6.91,broken clouds
144,Mormugao,IN,15.4,73.8,74.46,83,40,0.0,scattered clouds
145,Sakakah,SA,29.9697,40.2064,76.57,32,76,9.78,broken clouds
146,Palauig,PH,15.435,119.9045,79.77,80,30,4.12,scattered clouds
147,Niquero,CU,20.0431,-77.5828,84.0,70,5,11.23,clear sky
148,Longyearbyen,SJ,78.2186,15.6401,19.24,79,20,8.05,few clouds
149,Adrar,MR,20.5022,-10.0711,87.28,13,1,10.11,clear sky
150,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.67,63,89,1.88,light rain
151,Posse,BR,-14.0931,-46.3694,76.37,60,84,2.42,broken clouds
152,Kalangala,UG,-0.3089,32.225,70.95,76,5,11.95,clear sky
153,Lagoa,PT,39.05,-27.9833,64.38,66,25,22.08,scattered clouds
154,Meulaboh,ID,4.1363,96.1285,77.59,87,97,5.95,overcast clouds
155,Del Pilar,PH,15.0333,120.7,75.42,90,40,3.42,scattered clouds
156,Cayenne,GF,4.9333,-52.3333,84.24,74,0,8.05,clear sky
157,Hofn,IS,64.2539,-15.2082,40.89,76,100,7.14,overcast clouds
158,Verkhnevilyuysk,RU,63.4453,120.3167,29.91,96,100,12.5,snow
159,Kirakira,SB,-10.4544,161.9205,81.37,79,70,2.44,moderate rain
160,Esperance,AU,-33.8667,121.9,54.0,81,100,16.2,light rain
161,Nemuro,JP,43.3236,145.575,47.39,84,99,16.02,light rain
162,Bursa,TR,40.1667,29.0833,42.84,51,1,3.96,clear sky
163,Yarada,IN,17.65,83.2667,78.53,70,100,4.54,overcast clouds
164,Esik,KZ,43.3552,77.4525,43.86,88,99,2.86,overcast clouds
165,Coihaique,CL,-45.5752,-72.0662,52.41,66,75,5.75,broken clouds
166,Goderich,CA,43.7501,-81.7165,73.72,40,43,11.5,scattered clouds
167,Port Macquarie,AU,-31.4333,152.9167,62.89,93,100,6.98,light rain
168,Souillac,MU,-20.5167,57.5167,73.78,83,75,3.44,broken clouds
169,Borovoy,RU,55.4333,86.0833,31.28,93,100,15.66,light shower snow
170,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,73,75,9.22,broken clouds
171,Moose Factory,CA,51.2585,-80.6094,59.0,63,0,9.22,clear sky
172,Narsaq,GL,60.9167,-46.05,34.02,91,99,4.83,overcast clouds
173,Santa Maria,BR,-29.6842,-53.8069,74.5,33,20,5.75,few clouds
174,Severo-Kurilsk,RU,50.6789,156.125,37.04,95,99,5.7,light rain
175,Moranbah,AU,-22.0016,148.0466,76.62,61,68,11.12,broken clouds
176,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,20,12.66,few clouds
177,Deoria,IN,26.5047,83.7872,68.95,66,1,4.85,clear sky
178,Deputatskiy,RU,69.3,139.9,-4.77,97,60,4.0,broken clouds
179,Westport,US,41.1415,-73.3579,61.41,68,100,12.66,overcast clouds
180,Port Blair,IN,11.6667,92.75,80.71,83,100,16.2,overcast clouds
181,Lorengau,PG,-2.0226,147.2712,81.86,65,60,3.0,broken clouds
182,Florianopolis,BR,-27.6146,-48.5012,67.23,88,75,6.91,broken clouds
183,Talnakh,RU,69.4865,88.3972,22.44,96,100,6.96,light snow
184,Lambarene,GA,-0.7001,10.2406,75.2,96,100,2.95,moderate rain
