City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Wynyard,AU,51.98,overcast clouds,-41.0,145.7167,Burnie Airport Motel
599,Mandera,KE,84.31,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
600,Kuopio,FI,33.75,clear sky,62.8924,27.677,Hotel Jahtihovi
602,Bagenalstown,IE,52.02,overcast clouds,52.7003,-6.9618,Lord Bagenal Inn
605,Puerto Leguizamo,CO,73.74,moderate rain,-0.1934,-74.7819,la casona de juancho
606,Pimenta Bueno,BR,78.55,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
607,Porto Belo,BR,73.35,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
608,Thunder Bay,CA,62.51,scattered clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
609,Vilyuysk,RU,28.69,light snow,63.7553,121.6247,Gostinitsa Viliuisk
610,Labuhan,ID,78.15,overcast clouds,-6.8844,112.2051,DoubleFAG
611,Gonda,IN,67.57,clear sky,27.1333,81.9333,Capital O 41566 Golden Fairy Resort
613,Pergamino,AR,73.18,clear sky,-33.89,-60.5736,Hotel Fachinat
614,Mecca,SA,80.38,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
615,Dresden,DE,60.19,light rain,51.0509,13.7383,Hyperion Hotel Dresden am Schloss
616,Dom Pedrito,BR,64.26,clear sky,-30.9828,-54.6731,Hotel Alexandre
618,Zabaykalsk,RU,29.32,clear sky,49.6333,117.3167,Zheleznyy Mir
622,Qujing,CN,57.67,overcast clouds,25.4833,103.7833,Yulong Hotel
625,Sioux Lookout,CA,60.87,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
627,Caraquet,CA,64.94,overcast clouds,47.7941,-64.9386,Gite Le Poirier
629,Arlit,NE,81.52,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
632,Vila Franca Do Campo,PT,64.81,light rain,37.7167,-25.4333,Pestana Bahia Praia
635,Juarez,MX,80.24,overcast clouds,31.7333,-106.4833,Hotel Santa Fe
637,Hamilton,US,79.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
638,Gat,IL,69.82,clear sky,31.61,34.7642,OlusHome
639,Porto-Vecchio,FR,67.66,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
641,Auki,SB,80.19,overcast clouds,-8.7676,160.7034,Auki Motel
644,Yulara,AU,64.42,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
647,Liaoyang,CN,28.72,clear sky,41.2719,123.1731,Jinjiang Inn Style Liaoyang Xiangyu Avenue
648,Tezu,IN,72.37,overcast clouds,27.9167,96.1667,Circuit House
649,Dabat,ET,54.1,light rain,12.9842,37.765,Haymanot hotel
650,Barinas,VE,93.24,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
654,Jinchang,CN,48.15,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
656,San Quintin,MX,68.14,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
657,Cervo,ES,61.97,scattered clouds,43.6702,-7.4101,Hotel Spa Galatea
660,Mount Isa,AU,82.45,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
664,Phan Thiet,VN,75.94,overcast clouds,10.9333,108.1,Hotel Saigon-PT
666,Bhola,BD,73.33,moderate rain,22.6833,90.65,The Dhonia River Resort
